Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Super Mario All-Stars,SNES,1993,Platform,Nintendo,5990000,2150000,2120000,290000
Jurassic Park,NES,1993,Action,Ocean,250000,100000,0,10000
Ecco: The Tides of Time,GEN,1993,Adventure,Sega,0,0,70000,0
Pachinko Wars II,SNES,1993,Misc,Coconuts Japan,0,0,50000,0
Ranma 1/2: Akanekodan Teki Hihou,SNES,1993,Role-Playing,TOHO,0,0,110000,0
Samurai Shodown,NG,1993,Fighting,SNK,0,0,70000,0
Dynamite Headdy,GEN,1993,Platform,Sega,0,0,50000,0
Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,Epoch,0,0,50000,0
Tetris 2,NES,1993,Puzzle,Nintendo,620000,130000,210000,20000
Secret of Mana,SNES,1993,Role-Playing,SquareSoft,250000,70000,1490000,20000
Super Puyo Puyo,SNES,1993,Puzzle,Banpresto,0,0,1690000,10000
Virtual Soccer,SNES,1993,Sports,Hudson Soft,0,0,530000,0
Star Fox,SNES,1993,Shooter,Nintendo,1610000,510000,800000,70000
Street Fighter II': Special Champion Edition (JP weekly sales),GEN,1993,Action,Capcom,0,0,70000,0
Mortal Kombat II,SNES,1993,Fighting,Acclaim Entertainment,1480000,390000,0,60000
Super Street Fighter II,GEN,1993,Fighting,Capcom,0,0,150000,0
Kirby's Adventure,NES,1993,Platform,Nintendo,790000,140000,800000,20000
Capcom's Soccer Shootout,SNES,1993,Sports,Nintendo,0,0,800000,0
Pop'n TwinBee: Rainbow Bell Adventure,SNES,1993,Platform,Konami Digital Entertainment,0,0,60000,0
Super Mahjong 2: Honkaku 4Jin Uchi,SNES,1993,Misc,Imax,0,0,60000,0
Sailor Moon,SNES,1993,Action,Namco Bandai Games,0,0,220000,0
Classic Road,SNES,1993,Sports,Victor Interactive,0,0,110000,0
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993,Platform,Konami Digital Entertainment,0,0,310000,0
Ninja Warriors,SNES,1993,Action,Titus,0,0,70000,0
Illusion of Gaia,SNES,1993,Role-Playing,Nintendo,0,0,130000,0
Bishoujo Senshi Sailormoon R,SNES,1993,Fighting,Namco Bandai Games,0,0,270000,0
Keiba Eight Special,SNES,1993,Sports,Misawa,0,0,50000,0
Super Street Fighter II,SNES,1993,Fighting,Nintendo,520000,160000,1290000,30000
Sonic CD,SCD,1993,Platform,Sega,1000000,360000,90000,50000
Lethal Enforcers,SNES,1993,Shooter,Konami Digital Entertainment,0,0,90000,0
Jissen Pachi-Slot Hisshouhou,SNES,1993,Misc,Sammy Corporation,0,0,190000,0
Beyond Oasis,GEN,1993,Role-Playing,Sega,0,0,50000,0
Fatal Fury 2,SNES,1993,Fighting,Takara,0,0,450000,0
